x_cord,z_cord
306.42996893057625,301.83202850795954
413.50488561691355,372.49313752030406
521.2378420695632,442.14663613441684
629.6212191651382,510.78394672014724
738.6472587005609,578.3957021006066
848.3085966889323,644.9721067901875
958.5980126212816,710.5027925045615
1069.5084372579038,774.976838940934
1181.03290300936,838.3827589367124
1293.1647115721755,900.7086042524917
1405.896845756228,961.9416504938973
1519.2226765460148,1022.0688034057666
1633.1354812469929,1081.076341196186
1747.628449161888,1138.9499346569369
1862.694935725027,1195.6747858901576
1978.328072726827,1251.2354408749409
2094.5210166664283,1305.615924276949
2211.266487588338,1358.799535323196
2328.5574072683157,1410.7691569947015
2446.3863823548563,1461.5070259521387
2564.7458170660593,1510.9947992025238
2683.6278768509897,1559.2135516492133
2803.0244546769713,1606.1437763191561
2922.9271389362007,1651.7653867601225
3043.3272005903864,1696.0577279378242
3164.215502008864,1738.999559999172
3285.5825198750686,1780.569086635471
3407.418286934715,1820.743954886379
3529.7123584289448,1859.5012666047676
3652.453775071133,1896.8175911341204
3775.631025282012,1932.6689804198252
3899.232006749564,1967.0309867872693
4023.2438646318114,1999.878651919033
4147.653522589036,2031.186678633107
4272.44667123038,2060.929203238204
4397.608450189325,2089.0800189614365
4523.123209916611,2115.612556998671
4648.974471917341,2140.4999255507687
4775.144889481234,2163.7149532890176
4901.61620919551,2185.2302374872506
5028.369233560963,2205.018197041749
5155.383521658057,2223.0510950551857
5282.638465399103,2239.301254913226
5410.111502168535,2253.740881937306
5537.779319463392,2266.342316053022
5665.6175045528935,2277.078063198007
5793.600522665997,2285.920880666098
5921.70169956435,2292.843867907516
6049.89320908294,2297.8205626341146
6178.145910465908,2300.825039555581
6306.429968930576,2301.8320285079594
6434.714028265895,2300.825039541939
6562.966884090368,2297.8205577954336
6691.15839376576,2292.8438606840496
6819.259452972226,2285.9208783391255
6947.2423831714,2277.0780670367317
7075.080509584708,2266.3423259952547
7202.7482893279075,2253.7408974545374
7330.221294321066,2239.301276381583
7457.476454843249,2223.0510898440843
7584.4910122807205,2205.0181511311093
7711.244033782489,2185.2301877100354
7837.7152339300665,2163.7149204313732
7963.885586493505,2140.499902538107
8089.736808347731,2115.6125405487296
8215.251679779503,2089.079977048538
8340.413404145995,2060.9291713834054
8465.206490100027,2031.1866602992627
8589.616078605788,1999.8786505303883
8713.62798146085,1967.0309731194807
8837.22892720311,1932.6689762585927
8960.406159718468,1896.8175920480799
9083.147611312794,1859.5012567062556
9205.441661677198,1820.743951410149
9327.277329295559,1780.569116448128
9448.64428780824,1738.9996116485033
9569.53255430415,1696.0577940912344
9689.93259243908,1651.7654640258734
9809.835276213198,1606.1438563725624
9929.231854262505,1559.2136342120698
10048.114105466773,1510.994805515747
10166.473543190548,1461.5070311785478
10284.3025245697,1410.7691596259162
10401.593454938273,1358.7995332268981
10518.338948928187,1305.6159114699149
10634.531800450997,1251.2354715515548
10750.164953322217,1195.6748096496076
10865.231472467254,1138.949942760401
10979.724457065948,1081.0763409649883
11093.637262004668,1022.0688030442556
11206.963093397335,961.941649800043
11319.695228945646,900.7086027926618
11431.82693086581,838.3828173953276
11543.351419069895,774.9768858161983
11654.261844353754,710.5028400442384
11764.551357752604,644.9720968314989
11874.212752212974,578.3956572745119
11983.238643885636,510.7839936038819
12091.6219962776,442.14669981310544
12199.355135004953,372.49308345978017
12306.429968930577,301.83202850795954
